Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDT,2020-08-12,1.0005777636,1.0007029085,1.0024536151,0.9995814312
USDT,2020-08-13,1.0008259598,1.0004985672,1.0023111341,0.9996127226
USDT,2020-08-14,1.0018989423,1.0007936139,1.0032842283,1.000212302
USDT,2020-08-15,1.0008761035,1.0019972925,1.0023120267,1.0004081907
USDT,2020-08-16,1.0007995177,1.0006975546,1.0051112852,1.0002870176
USDT,2020-08-17,1.0016771115,1.0004142197,1.0031667688,0.9997370853
USDT,2020-08-18,1.001536541,1.0013123073,1.0031325144,0.9997662114
USDT,2020-08-19,1.000769403,1.0010749537,1.0034498956,1.00002
USDT,2020-08-20,1.0016406026,1.0011038559,1.0027646698,0.9966015633
USDT,2020-08-21,1.0010989344,1.0010618177,1.0043831519,0.9999639608
USDT,2020-08-22,1.0012723425,1.0009923104,1.0020522613,1.0002636904
USDT,2020-08-23,1.0012269838,1.0008941277,1.0017581764,1.0003855969
USDT,2020-08-24,1.0004425691,1.0010583746,1.0020448196,0.9999994109
USDT,2020-08-25,1.0013111653,1.0007016554,1.0038554781,0.9994866059
USDT,2020-08-26,1.0007250299,1.0010582775,1.0027325369,0.9981617877
USDT,2020-08-27,1.00130777,1.00050087,1.0033022359,0.9988205312
USDT,2020-08-28,1.0014488761,1.0012743146,1.002944596,0.999776228
USDT,2020-08-29,1.0014788614,1.0012302385,1.0022313098,1.0003
USDT,2020-08-30,1.0004955112,1.0012189557,1.0017566284,0.9996785901
USDT,2020-08-31,1.000734926,1.0001291421,1.0025695704,0.9998206319
USDT,2020-09-01,1.000646656,1.000684157,1.0026539903,0.9996927126
USDT,2020-09-02,1.0019889555,1.000053259,1.007922976,0.9998645116
USDT,2020-09-03,1.0022793451,1.0018383293,1.005121617,0.9998575691
USDT,2020-09-04,1.0015566122,1.0028324082,1.0042658032,1.0005818846
USDT,2020-09-05,1.0010035083,1.0017461951,1.002203601,1.0006517196
USDT,2020-09-06,1.0007199952,1.0007919431,1.001683245,1.0003881342
USDT,2020-09-07,1.0007128905,1.000888706,1.0022550828,0.9999803147
USDT,2020-09-08,1.0013902803,1.0005682621,1.0035637321,1.0004020399
