Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
USDC,2020-08-04,1.0010016596,1.0003173793,1.0032008387,0.9988079496
USDC,2020-08-05,0.9997885648,0.9999236893,1.0028055267,0.9949525982
USDC,2020-08-06,1.0000447058,1.0001611033,1.0025365497,0.9984866233
USDC,2020-08-07,1.0000015644,1.0007722037,1.0047494945,0.9995736009
USDC,2020-08-08,0.999737654,1.000450662,1.0014524937,0.9991248734
USDC,2020-08-09,1.0003837424,1.0000033781,1.0013014464,0.9986415041
USDC,2020-08-10,1.0001878173,1.0004286088,1.0023272261,0.9985154516
USDC,2020-08-11,1.0009454209,1.000218394,1.0025283504,0.9987871976
USDC,2020-08-12,1.0001762754,1.0010979306,1.0019283881,0.9996358927
USDC,2020-08-13,0.9997403161,1.0002093817,1.0022086994,0.9988511087
USDC,2020-08-14,1.000816437,0.99951194,1.0019156098,0.998823173
USDC,2020-08-15,1.000256543,1.0008158686,1.0015697041,0.9996635133
USDC,2020-08-16,1.0005145837,1.0000990293,1.0049081395,0.9998368571
USDC,2020-08-17,1.0002654654,1.0001259376,1.002512001,0.9987563165
USDC,2020-08-18,1.0007302207,1.0000314741,1.0029554026,0.9991936604
USDC,2020-08-19,1.0000674177,1.0003659144,1.0029887816,0.9994785474
USDC,2020-08-20,1.0006342599,1.0007900183,1.0024121322,0.9965695917
USDC,2020-08-21,1.0012696808,1.0004464325,1.0043262483,0.9974495123
USDC,2020-08-22,1.0008258519,1.0011584845,1.0022606484,0.9998972201
USDC,2020-08-23,1.0010663646,1.0003721807,1.0014943785,1.0000706897
USDC,2020-08-24,1.0004962294,1.0006537522,1.0019285593,0.9995592093
USDC,2020-08-25,1.0008815333,1.0004588911,1.003562926,0.999647161
USDC,2020-08-26,1.0003011565,1.0006445456,1.0024354014,0.9976895519
USDC,2020-08-27,1.0010858238,0.9998845417,1.0031296342,0.9982929924
USDC,2020-08-28,1.0009633397,1.0012462672,1.0023327549,0.9995204061
USDC,2020-08-29,1.001101462,1.0007280922,1.0019946414,0.9999975929
USDC,2020-08-30,1.000577864,1.0008357528,1.0016988795,0.9997071098
USDC,2020-08-31,1.0004140075,1.0000214751,1.0026855645,0.9995221464
USDC,2020-09-01,1.0000224942,1.0004021103,1.002137984,0.9993284887
USDC,2020-09-02,1.0009880226,0.9996645287,1.007539089,0.9992762903
USDC,2020-09-03,1.001356964,1.0010404972,1.006333818,0.999757351
USDC,2020-09-04,1.0007393161,1.001337697,1.0032678619,0.9995885017
USDC,2020-09-05,1.0009536991,1.0010428695,1.0038842661,0.9994582334
USDC,2020-09-06,1.0006237226,1.0006725307,1.0036613364,0.9998509765
USDC,2020-09-07,1.0006444907,1.0007940824,1.0041303157,0.9999526853
USDC,2020-09-08,1.0015109218,1.0005845597,1.0034176331,0.9971903028
USDC,2020-09-09,1.0010618999,1.0013598372,1.0028616953,0.9992934608
USDC,2020-09-10,1.0004017446,1.0006211599,1.0025697752,0.9989563015
USDC,2020-09-11,1.0007286149,1.0004600493,1.002201821,0.9999465848
USDC,2020-09-12,1.000741719,1.0005761128,1.0021580783,1.0003147268
USDC,2020-09-13,1.0005389393,1.0006521011,1.0021977145,0.9997894111
USDC,2020-09-14,1.0010359627,1.0004976305,1.0023063422,0.9998637814
USDC,2020-09-15,1.0004198002,1.0008304392,1.0020859937,1.0000492007
USDC,2020-09-16,1.0009733279,1.0007146044,1.0030597181,0.9984997821
USDC,2020-09-17,1.0001905447,1.0012009793,1.002231102,0.9993252304
USDC,2020-09-18,1.0003655958,1.0004966307,1.0018529222,1.0000099232
USDC,2020-09-19,1.0001807797,1.0004359874,1.001517169,0.9999049361
USDC,2020-09-20,1.0005569451,1.0002704356,1.0027174362,1.0000155932
USDC,2020-09-21,1.0006430301,1.0005423986,1.0024061,0.9994262669
USDC,2020-09-22,1.0004796325,1.0006958678,1.0021520343,0.9998610205
USDC,2020-09-23,1.000534369,1.0004042553,1.0048162683,0.9999406841
USDC,2020-09-24,0.9994827461,1.0005398642,1.002275311,0.9992232302
USDC,2020-09-25,1.0004409886,0.9997357378,1.0025751456,0.9994460473
USDC,2020-09-26,1.0002641895,0.9999730082,1.0011045615,0.9997549555
USDC,2020-09-27,1.0002202406,1.0003493158,1.0013330785,0.9993375824
USDC,2020-09-28,1.0002764218,1.0000555019,1.0010860854,0.9995702034
USDC,2020-09-29,1.0004336982,0.9998163153,1.0011658013,0.9987581701
USDC,2020-09-30,1.000057927,1.0001914178,1.0021400777,0.9988428465
USDC,2020-10-01,1.0003469941,1.0000140664,1.0019131233,0.9992624552
USDC,2020-10-02,1.0007421776,1.0008105646,1.0013919711,0.9998285762
USDC,2020-10-03,1.0006278792,1.0006551076,1.0016690847,1.0001896292
USDC,2020-10-04,1.0002971284,1.0012753497,1.0015979359,0.9999767987
USDC,2020-10-05,0.9998906144,1.000212166,1.001513246,0.9994141586
USDC,2020-10-06,1.0000512732,1.0000376809,1.0016745636,0.9990762086
USDC,2020-10-07,0.9998246065,0.9997740315,1.0013549588,0.9992780352
USDC,2020-10-08,1.0001353756,0.9998512726,1.0013813014,0.9989227378
USDC,2020-10-09,1.0004111163,1.0002319503,1.001673502,0.9995691384
USDC,2020-10-10,0.9992170448,1.0002229403,1.00067519,0.9989103675
USDC,2020-10-11,0.9996827113,0.9991828194,1.0006186316,0.998982208
USDC,2020-10-12,0.9997383565,0.9999752274,1.0014831471,0.9992099218
USDC,2020-10-13,1.0005036166,0.9995525368,1.0024662372,0.9991433725
USDC,2020-10-14,1.0007209797,1.0004217755,1.0012582737,0.9993301828
USDC,2020-10-15,1.0000334756,1.0008169771,1.0020457652,0.9992906891
USDC,2020-10-16,1.0005283743,1.0002186001,1.0081864591,0.9993042655
USDC,2020-10-17,1.0004913886,1.0004180325,1.000943073,0.999186287
USDC,2020-10-18,1.0004047202,1.0004203652,1.0015444019,0.9995818539
USDC,2020-10-19,1.0001241467,1.0004278466,1.0011674155,0.9994491693
USDC,2020-10-20,1.0000761002,0.9997255728,1.0009819642,0.9984302049
